file,experiment_id,mbti_a,mbti_b,final_score_a,final_score_b,total_rounds,use_rag
experiment_results_20260521_164425,08f1882d-7ce2-4d75-bd96-3286093fc1e2,INTJ,ENTJ,85,97,50,True
experiment_results_20260521_165628,b00f7295-596a-48a8-b0cf-e93e184556d4,INTJ,INTP,180,99,50,True
experiment_results_20260521_171302,81ee13fa-dead-4a26-afc0-7bb437c77276,INTJ,ENTP,236,32,50,True
experiment_results_20260521_172600,561cfcbc-8bc9-4ce5-a2d9-02d37eb8946b,INTJ,ENFP,340,80,50,True
experiment_results_20260521_173805,7037da92-1606-40eb-9115-944b871d17ec,INTJ,ENFJ,439,87,50,True
experiment_results_20260521_174854,a7acad76-b63a-47a2-bed9-3fc355269527,INTJ,INFJ,540,89,50,True
experiment_results_20260521_175942,af291c40-b979-46eb-9483-3610875280f5,INTJ,INFP,639,95,50,True
experiment_results_20260521_181031,3a3a3334-b221-4104-be31-b4104fc425c0,INTJ,ESTJ,738,95,50,True
experiment_results_20260521_182244,41574a54-9eea-4d01-8e12-ba585711c10c,INTJ,ESTP,766,20,50,True
experiment_results_20260521_183330,087ce8e6-91e6-4c28-81a7-a9f89cdeea75,INTJ,ISTJ,866,92,50,True
experiment_results_20260521_184418,8f590acc-1fa8-408f-834a-50069b319fff,INTJ,ISTP,958,100,50,True
experiment_results_20260521_185523,d57b56e1-3355-46ad-847a-91c4832631ec,INTJ,ESFP,1044,94,50,True
experiment_results_20260521_190545,06fa7c71-93d1-4c1a-8118-6ec4b2a55872,INTJ,ESFJ,1144,84,50,True
experiment_results_20260521_191517,55d07a3b-3d56-4a4b-bf82-515f2ffeae6d,INTJ,ISFJ,1245,97,50,True
experiment_results_20260521_192445,fa4053f0-c055-4652-a178-22f9c827c015,INTJ,ISFP,1344,95,50,True
experiment_results_20260522_022112,7ebf1728-680c-4d0f-b6e6-7efc9c5cd867,INTJ,ENTJ,87,99,50,True
experiment_results_20260522_023159,e2e666c0-94da-404e-b473-c0c3834d9bc6,INTJ,INTP,98,98,50,True
experiment_results_20260522_024426,d32a528d-aeb5-48bd-b5ed-aaf553d9d98b,INTJ,ENTP,56,48,50,True
experiment_results_20260522_025448,4db61c85-70a8-4ed6-85c3-5db3cd1cc184,INTJ,ENFP,98,98,50,True
experiment_results_20260522_030438,3de96bb5-275b-48f4-8ae1-a3cce86e0d2b,INTJ,ENFJ,100,92,50,True
experiment_results_20260522_031410,b5910e34-10d0-4937-acc4-d5827896edc1,INTJ,INFJ,99,95,50,True
experiment_results_20260522_032413,dff91fa1-edd5-442e-9acd-060975991513,INTJ,INFP,102,78,50,True
experiment_results_20260522_033351,5d4859fe-e757-4548-8059-717b1d057eae,INTJ,ESTJ,98,98,50,True
experiment_results_20260522_034509,fdf24373-79cd-4334-9c02-1153e67e6a7c,INTJ,ESTP,48,56,50,True
experiment_results_20260522_035556,3732ff00-ec8a-46a6-9fd9-a0470c1e0406,INTJ,ISTJ,6,14,50,True
experiment_results_20260522_040628,dcbca05c-2d61-49fb-9494-892bfaf56f30,INTJ,ISTP,22,14,50,True
experiment_results_20260522_041705,be88e44e-5b99-41a2-8eb7-3239f630a4b2,INTJ,ESFP,66,58,50,True
experiment_results_20260522_042611,e3f117ac-3871-4f74-94c5-b0b9e1594b82,INTJ,ESFJ,100,92,50,True
experiment_results_20260522_043532,a4c8ca2a-b6c6-42ae-8956-b10f9f3ab10f,INTJ,ISFJ,99,87,50,True
experiment_results_20260522_044458,5aa80b8e-9d89-4bce-af9a-9d8c637ea6f7,INTJ,ISFP,101,81,50,True
experiment_results_20260522_045452,259d6c67-5172-4a6f-86da-e340d104c2a6,ENTJ,INTJ,96,88,50,True
experiment_results_20260522_050502,5ab2972f-fda3-4d98-bcb7-6617e4e08934,ENTJ,INTP,97,85,50,True
experiment_results_20260522_051548,b9612cff-da22-4a09-bf59-8dc747322935,ENTJ,ENTP,28,12,50,True
experiment_results_20260522_052507,b1f6aefc-864a-4f5b-9369-cde921b4c23b,ENTJ,ENFP,99,87,50,True
experiment_results_20260522_053350,1848a6ba-6a1e-4f5f-864b-0584820ef767,ENTJ,ENFJ,100,76,50,True
experiment_results_20260522_054332,f479f255-29b1-4b3e-8a12-6ace165ceb34,ENTJ,INFJ,22,14,50,True
experiment_results_20260522_055234,9945c7c1-14ab-4909-8761-11543f15c515,ENTJ,INFP,96,64,50,True
experiment_results_20260522_060059,643def23-59d7-4e3b-b7bd-a6eb41c9bdd9,ENTJ,ESTJ,97,93,50,True
experiment_results_20260522_061023,88f22a17-2ace-4605-bb0c-d347a2d37223,ENTJ,ESTP,26,18,50,True
experiment_results_20260522_061859,e3f9a757-c884-47a1-a76f-659d7ab7a4ac,ENTJ,ISTJ,100,84,50,True
experiment_results_20260522_062744,0617c56b-c319-4f21-8bba-a0e3bc432c6b,ENTJ,ISTP,89,93,50,True
experiment_results_20260522_063707,d28a05f0-e0c5-468c-a644-a472841497c5,ENTJ,ESFP,31,11,50,True
experiment_results_20260522_064601,d2ab5804-8c5b-48dd-ae24-6c6d63523f87,ENTJ,ESFJ,96,72,50,True
experiment_results_20260522_065447,85f43828-94aa-4a66-b4ab-1bb5b8ec0536,ENTJ,ISFJ,96,56,50,True
experiment_results_20260522_070338,3ed05824-452b-4d6a-bbc5-02d0a1169f8f,ENTJ,ISFP,102,70,50,True
experiment_results_20260522_071312,9cad5e5c-a3a9-41f9-bb84-893a52da51e6,INTP,INTJ,95,99,50,True
experiment_results_20260522_072245,d4a48998-0617-47db-8cc9-be5cf04aca78,INTP,ENTJ,89,93,50,True
experiment_results_20260522_073357,e051e821-232e-4ca2-a9f1-493582de5920,INTP,ENTP,37,49,50,True
